Name of the company,Location,Email,Phone number,Website,Application domain
TrustMe,"El Achour, Algiers",contact@trustme.work,023 33 68 13,https://www.trustme.work/,Recruiting Platform
Emploitic,"Draria, Algiers",info@emploitic.com,0560 90 61 16,https://www.emploitic.com/,Recruiting Platform
GO PLATFORM,Blida,contact@go-platform.dz,025 23 17 39,Go-platform.com,Recruiting Platform
KPMG Algeria,"Bab Ezzouar, Algiers",https://kpmg.com/dz/fr/home/misc/contact.html,021 98 85 00,https://home.kpmg/dz/fr/home.html,Consulting & Audit Firm
EY Algeria,"Bab Ezzouar, Algiers",careerdz@dz.ey.com,021 24 93 92,https://www.ey.com/en_gl,Consulting & Audit Firm
Think Touch Solution,"Alger Centre, Algiers",contact@thinktouchsolution.com,023 49 01 49,https://www.thinktouchsolution.com/,Consulting & Audit Firm
PwC Algeria,"Hydra, Algiers",/,021 98 21 00,https://pwcalgerie.pwc.fr/,Consulting & Audit Firm
Brenco Engineering & Consulting,"Cheraga, Algiers",contact@brenco-algerie.com,023 48 06 75,https://brenco-algerie.com,Consulting & Audit Firm
Huawei Télécommunication Algérie,"Bab Ezzouar, Algiers",https://consumer.huawei.com/dz/contact-us/,0770 25 25 60,https://www.huawei.com/,Telecommunications
Djezzy,"Bab Ezzouar, Algiers",contact@djezzy.dz,0770 85 00 00,https://www.djezzy.dz,Telecommunications
Ooredoo,"Ouled Fayet, Algiers",contact@ooredoo.dz,0550 00 03 30,http://www.ooredoo.dz/,Telecommunications
Mobilis,"Dar El Beida, Algiers",relationclients.entreprise@mobilis.dz,0655 00 29 99,https://www.mobilis.dz/,Telecommunications
Algérie Télécom,"Mohammadia, Algiers",contact@algerietelecom.dz,021 82 38 38,https://www.algerietelecom.dz/,Telecommunications
WeeWee Delivery,"Mohammadia, Algiers",contact@weeweedelivery.com,0562 20 10 68,https://landing.weeweedelivery.com/,Delivery Services
Yalidine Express,"Bordj El Kiffan, Algiers",contact@yalidine.com,0982 30 80 80,https://yalidine.com/,Delivery Services
Yassir Express,"Hydra, Algiers",support@yassir.com,021 99 99 99,https://express.yassir.io/,Delivery Services
Jumia Express,"Dely Ibrahim, Algiers",https://www.jumia.com.dz/sp-contact/,023 98 27 00,https://vendorhub.jumia.com.dz/jumia-express-3/,Delivery Services
TemTem One,"El Biar, Algiers",/,0982 40 06 02,https://temtemone.com/,Delivery Services
ORNIDEX,"Hydra, Algiers",contact@ordinex.com,0698 44 84 21,https://www.ornidex.com/,IA Solutions
BIGmama Technology,"Alger Centre, Algiers",contact@big-mama.io,021 71 28 48,https://big-mama.io,IA Solutions
Humanaize,Algiers,contact@human-ai-ze.com,/,https://www.human-ai-ze.com/,IA Solutions
FenTech,"Draria, Algiers",contact@fentech.ai,/,https://fentech.ai,IA Solutions
Namla Cloud Edge,"Sidi Abdellah, Algiers",contact@namla.cloud,/,https://namla.cloud,"Cloud, Edge Computing, IoT"
Qareeb,"Alger Centre, Algiers",https://www.qareeb.io/contact,0770 06 45 13,https://www.qareeb.io/,"Cloud, Edge Computing, IoT"
Algerian Electronic Technology Industries,Boumerdès,contact@aetindustries.dz,0698 30 44 50,https://www.aetindustries.dz/,"Cloud, Edge Computing, IoT"
Heetch,"Hussein Dey, Algiers",contact@heetch.com,0982 40 27 43,https://www.heetch.com/,Ride-hailing
Yassir,"Hydra, Algiers",support@yassir.com,021 99 99 99,https://yassir.com,Ride-hailing
Coursa,"El Achour, Algiers",support@coursadz.com,023 35 13 14,https://www.coursadz.com/,Ride-hailing
Société Algérienne d'Assurances (SAA),"Bab Ezzouar, Algiers",https://www.saa.dz/fr/contact,021 22 50 00,https://www.saa.dz/,Insurance Company
Compagnie Algérienne des Assurances (CAAT),"Bir Mourad Raïs, Algiers",info@caat.dz,023 56 93 24,https://caat.dz/,Insurance Company
GAM Assurances,"Cheraga, Algiers",https://gam.dz/contacter-la-gam/,0982 30 40 44,https://gam.dz/,Insurance Company
Ouedkniss,"Kouba, Algiers",contact@ouedkniss.com,0777 00 11 00,https://www.ouedkniss.com/,E-commerce Platform
Yalitec,"Dar El Beida, Algiers",contact@yalitec.com,0770 16 06 90,https://www.yalitec.com/fr,E-commerce Platform
Jumia,"Dely Ibrahim, Algiers",https://www.jumia.com.dz/sp-contact/,023 98 27 00,https://www.jumia.com.dz/,E-commerce Platform
Techmology,"Mohammadia, Algiers",contact@techmology-dz.com,0556 32 80 78,https://techmology-dz.com/,Robotics
Keybox,"El Achour, Algiers",contact@keybox.dz,0541 46 42 90,https://keybox.dz/,Robotics
NEW GATE ROBOT CENTER,Setif,newgaterobot@gmail.com,0658 90 90 47,https://www.newgaterobot.org/,Robotics
Institut Pasteur d'Algérie,"Cheraga, Algiers",contact@pasteur.dz,023 36 75 04,https://www.pasteur.dz/,Healthcare
SIHHATECH,Boumerdès,contact@sihhatech.com,0540 20 54 84,https://sihhatech.com/,Healthcare
eSiha,Oran,info@esiha.net,0557 38 01 71,https://esiha.dz/,Healthcare
Sonatrach,"Hydra, Algiers",https://sonatrach.com/nous-contacter,021 54 70 00,https://sonatrach.com/,Oil & Gas
Schlumberger (SLB),"Hydra, Algiers",https://www.slb.com/contact-us,023 30 50 80,https://www.slb.com,Oil & Gas
Agence Nationale pour la Valorisation des Ressources en Hydrocarbures (ALNAFT),"Hydra, Algiers",contact-alnaft@alnaft.dz,023 08 31 23,https://www.alnaft.dz/,Oil & Gas
AITech,"Alger Centre, Algiers",contact@ai-technologies.co,0671 41 04 27,https://www.ai-technologies.co,Agriculture
Farmy AI,Skikda,info@farmy.ai,/,https://www.farmy.ai/,Agriculture
Legal Doctrine,"Dely Ibrahim, Algiers",contact@legal-doctrine.com,023 23 07 82,https://legal-doctrine.com,Legal & Juridical Services
Wessini,"Baba Hassen, Algiers",contact@wessini.com,020 27 09 37,https://wessini.co/,Legal & Juridical Services
Ericsson Algeria,"Bab Ezzouar, Algiers",/,023 92 44 01,https://www.ericsson.com/en/about-us/company-facts/ericsson-worldwide/algeria,Industrial Solutions
Siemens Algeria,"Hydra, Algiers",serviceclient.dz@siemens.com,023 37 58 41,https://new.siemens.com/dz/fr.html,Industrial Solutions
Cosider,"Bir Mourad Raïs, Algiers",groupe@cosider-groupe.dz,023 56 92 17,https://www.cosider-groupe.dz/,Construction
Contrôle Technique de Constructions (CTC),"Hussein Dey, Algiers",contact@ctc-dz.org,023 77 25 84,https://www.ctc-dz.org/,Construction
Groupe Cevital,"Kouba, Algiers",contact@cevital.com,023 56 38 02,http://www.cevital.com,Agri-food Industry
INKIDIA,"Kouba, Algiers",contact@inkidia.dz,023 60 29 60,https://www.inkidia.dz/fr/,Education
"El Djazair Information Technology (ELIT) - 
Groupe Sonelgaz","Djasr Kasentina, Algiers",inchighalet.invest@sonelgaz.dz,023 60 84 95,https://www.sonelgaz.dz/,Energy
Laboratoires Merinal,"Oued Smar, Algiers",https://merinal.com/contact/,023 92 04 00,https://merinal.com/,Pharmaceutical Manufacturing
Kyo Conseil,"Bir Mourad Raïs, Algiers",contact@kyo-conseil.com,0550 19 31 26,www.kyo-conseil.com,Communication Agency
Bk fire,"Saoula, Algiers",contact@bkfire.dz,0540 03 63 25,Bkfire.dz,Fire Protection
Fatoura App - تطبيق فاتورة,"Hydra, Algiers",contact@fatoura.app,044 99 59 74,https://fatoura.app,Billing Solutions
Hadretna,"Alger Centre, Algiers",moussab@fentech.ai,/,https://hadretna.ai/,Natural Language Processing
Garini,Oran,contact@garini.dz,0540 13 16 93,https://garini.dz/,Parking systems
List of startups,https://airtable.com/appMPr02yhOJvLFmp/shrxg7LfNmGvrII69/tblMNBaaERfQXZtMj?backgroundColor=gray&viewControls=on,,,,
Suggestions for other companies,https://forms.gle/eeyCZNP5ksGS9mdb7,,,,
Contact,https://sambelkacem.github.io/,,,,
